year,pct,ser_num,datestop,timestop,recstat,inout,trhsloc,perobs,crimsusp,perstop,typeofid,explnstp,othpers,arstmade,arstoffn,sumissue,sumoffen,compyear,comppct,offunif,officrid,frisked,searched,contrabn,adtlrept,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,radio,ac_rept,ac_inves,rf_vcrim,rf_othsw,ac_proxm,rf_attir,cs_objcs,cs_descr,cs_casng,cs_lkout,rf_vcact,cs_cloth,cs_drgtr,ac_evasv,ac_assoc,cs_furtv,rf_rfcmp,ac_cgdir,rf_verbl,cs_vcrim,cs_bulge,cs_other,ac_incid,ac_time,rf_knowl,ac_stsnd,ac_other,sb_hdobj,sb_outln,sb_admis,sb_other,repcmd,revcmd,rf_furt,rf_bulg,offverb,offshld,forceuse,sex,race,dob,age,ht_feet,ht_inch,weight,haircolr,eyecolor,build,othfeatr,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,aptnum,city,state,zip,addrpct,sector,beat,post,xcoord,ycoord,dettypCM,lineCM,detailCM
2014,120,93,1012014,145,A,O,P,1,BURGLARY,5,V,Y,N,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,120,120,N,N,V,S, ,M,Q,12311900,13,5,10,145,BR,BR,T, ,L, , ,STREET, , ,CASTLETON AVENUE,NORTH BURGHER AVENUE, ,STATEN ISLAND, , ,120,J, , ,952460,170558,CM,1,14
2014,42,1,1012014,154,1,I,H,1,CPM (MISD),1,P,Y,N,Y,CPM,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,826,826,N,N, , , ,M,B,12311900,30,6,5,220,BK,BR,T, ,L, , ,LOBBY,1458,WEBSTER AVENUE,EAST 171 STREET,EAST 170 STREET, ,BRONX, , ,42,B, , ,1010098,244419,CM,1,29
2014,41,14,1012014,155,A,O,P,1,ASSAULT,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,41,41,Y,N, , , ,M,B,12311900,34,5,10,190,BK,BR,M, ,L, , ,STREET, , ,DAWSON STREET,ROGERS PLACE, ,BRONX, , ,41,F,62, ,1012513,237861,CM,1,9
2014,41,15,1012014,155,A,O,P,1,ASSAULT,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,41,41,Y,Y, , ,DO,M,B,12311900,35,6,0,180,BK,BR,M, ,L, , ,STREET, , ,DAWSON STREET,ROGERS PLACE, ,BRONX, , ,41,F,62, ,1012513,237861,CM,1,9
2014,101,33,1012014,200,1,O,P,2,FELONY,3,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,101,101,N,N, , , ,M,B,12311900,42,6,0,205,BK,BR,M, ,L, , ,SIDEWALK, , ,CORNAGA AVENUE,BEACH 21 STREET, ,QUEENS, , ,101,D, , ,1052520,158786,CM,1,20
2014,62,6,1012014,213,1,I,P,1,BURGLARY,2,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,62,62,N,N, , , ,M,Q,12311900,46,5,9,185,BK,BR,M, ,L, , ,STORE,1979,86 STREET,20 AVENUE,19 AVENUE, ,BROOKLYN, , ,62,F, ,5,984634,159636,CM,1,14
2014,34,3,1012014,215,A,O,P,2,FEL,2,P,Y,Y,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,34,34,N,N, , , ,M,P,12311900,21,5,11,150,BK,BR,T, ,L, , ,SIDEWALK,1597,SAINT NICHOLAS AVEN,WEST 190 STREET,WEST 189 STREET, ,MANHATTAN, , ,34,A,6,13,1003682,250700,CM,1,85
2014,22,2,1012014,220,A,O,P,1,FELONY,10,P,Y,Y,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,483,483,N,N, , , ,M,B,12311900,18,5,5,150,BK,BR,M, ,L, , ,104 ST / COLUMBUS AVENUE, , ,TRANSVERSE ROAD NUMBER FOUR,WEST DRIVE, ,MANHATTAN, , ,22,E,14, ,994617,227693,CM,1,9
2014,22,1,1012014,220,A,O,P,1,FELONY,10,P,Y,Y,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,483,483,N,N, , , ,M,B,12311900,14,5,6,160,BK,BR,M, ,L, , ,104 ST. / COLUMBUS AVENUE, , ,TRANSVERSE ROAD NUMBER FOUR,WEST DRIVE, ,MANHATTAN, , ,22,E,14, ,994617,227693,CM,1,9
2014,50,1,1012014,245,A,O,P,1,FELONY,5,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,50,50,Y,N, , ,DS,M,Q,12311900,19,5,10,160,BR,BK,T, ,L, , ,SIDEWALK, , ,BROADWAY,WEST 234 STREET, ,BRONX, , ,50,F, , ,1011122,260515,CM,1,20
2014,25,1,1012014,312,1,O,P,1,FELONY,1,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,25,25,Y,N, , , ,M,B,12311900,34,6,0,175,BK,BR,M,BRAIDS,L, , ,SIDEWALK, , ,LEXINGTON AVENUE,EAST 128 STREET, ,MANHATTAN, , ,25,D, , ,1001963,233039,CM,1,20
2014,120,1,1012014,315,A,O,P,1,CPM,10,P,Y,N,N, ,N, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,120,120,N,N, ,S, ,F,B,12311900,25,5,7,140,BK,BR,M, ,L, , ,STREET,528,HENDERSON AVENUE,PELTON AVENUE,DAVIS AVENUE, ,STATEN ISLAND, , ,120,J, , ,953650,171663,CM,1,27
2014,28,11,1012014,315,1,O,P,2,FELONY,5,V,Y,Y,Y,CPW,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,Y,Y,N,28,28,N,N, , ,DS,M,B,12311900,18,5,4,140,BK,BR,T, ,L, , ,STREET,7,WEST 110 STREET,LENOX AVENUE,FRAWLEY CIRCLE, ,MANHATTAN, , ,28,A, ,35,998052,229755,CM,1,85
2014,120,2,1012014,315,A,O,P,5,CPM,10,P,Y,N,N, ,N, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,120,120,N,N, ,S, ,M,B,12311900,23,5,7,205,BK,BR,M, ,L, , ,STREET,528,HENDERSON AVENUE,PELTON AVENUE,DAVIS AVENUE, ,STATEN ISLAND, , ,120,J, , ,953650,171663,CM,1,27
2014,28,9,1012014,315,1,O,P,2,FELONY,5,P,Y,Y,Y,CPW,N, ,0,0,Y, ,Y,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,28,28,N,N, , ,DS,M,B,12311900,24,5,8,144,BR,BR,T, ,L, , ,STREET,7,WEST 110 STREET,LENOX AVENUE,FRAWLEY CIRCLE, ,MANHATTAN, , ,28,A, ,35,998052,229755,CM,1,85
2014,28,10,1012014,315,1,O,P,5,FELONY,5,V,Y,Y,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,28,28,N,N, , ,DS,M,B,12311900,21,5,9,160,BR,BR,T, ,L, , ,STREET,7,WEST 110 STREET,LENOX AVENUE,FRAWLEY CIRCLE, ,MANHATTAN, , ,28,A, ,35,998052,229755,CM,1,85
2014,10,3,1012014,315,A,O,P,1,FELONY,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,10,10,N,N, , , ,M,B,12311900,41,5,11,200,BK,BR,M, ,L, , , ,206,8 AVENUE,WEST 21 STREET,WEST 20 STREET, ,MANHATTAN, , ,10,A, ,7,984354,210231,CM,1,85
2014,102,1,1012014,315,1,O,P,1,CPM/ CRIMINAL TRESPASS,3,R,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,102,102,N,N, , , ,M,Q,12311900,**,5,11,150,BK,BR,M, ,L, , ,SIDEWALK,95-02,VANWYCK EXPRESSWAY,97 AVENUE,95 AVENUE, ,QUEENS, , ,102,A, , ,1035992,192975,CM,1,31
2014,28,8,1012014,315,1,O,P,2,FELONY,5,V,Y,N,Y,CPW,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,28,28,N,N, , , ,M,U,12311900,19,5,10,175,BK,BR,M, ,L, , ,STREET,7,WEST 110 STREET,LENOX AVENUE,FRAWLEY CIRCLE, ,MANHATTAN, , ,28,A, ,35,998052,229755,CM,1,85
